央视,#genre#
CCTV1,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv1.m3u8
CCTV1,http://182.151.234.91:9900/udp/239.93.0.184:5140
CCTV2,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv2.m3u8
CCTV2.http://182.151.234.91:9900/udp/239.93.1.23:6000
CCTV3,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv3.m3u8
CCTV4,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv4.m3u8
CCTV5,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5.http://182.151.234.91:9900/udp/239.93.42.37:5140
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://61.182.33.218:8000/hls/5/index.m3u8
CCTV5,http://49.83.251.217:4022/rtp/239.49.9.32:6000
CCTV5,http://1.198.26.166:808/hls/5/index.m3u8
CCTV5,http://27.45.234.161:2024/hls/5/index.m3u8
CCTV5,http://1.198.26.166:808/hls/5/index.m3u8
CCTV5+,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv5p.m3u8
CCTV5+,http://182.151.234.91:9900/udp/239.93.1.36:8004
CCTV5+,http://49.83.251.217:4022/rtp/239.49.8.137:6000
CCTV5,http://49.83.251.217:4022/rtp/239.49.1.5:6000
CCTV6,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv6.m3u8
CCTV7,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv7.m3u8
CCTV8,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv8.m3u8
CCTV9,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv9.m3u8
CCTV10,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv10.m3u8
CCTV11,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv11.m3u8
CCTV12,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv12.m3u8
CCTV13,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv13.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?auth_key=1635962688#http://61.170.80.218/liveali-tpgq.cctv.cn/live/cctv13.m3u8
CCTV14,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv14.m3u8
CCTV15,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv15.m3u8
CCTV16,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv16.m3u8
CCTV17,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv17.m3u8
央视台球高清,http://49.83.251.217:4022/rtp/239.49.9.22:6000
CGTN,http://182.151.234.91:9900/udp/239.93.0.104:5140
世界地理,http://49.83.251.217:4022/rtp/239.49.1.63:6000

Sport,#genre#
风云足球高清,http://49.83.251.217:4022/rtp/239.49.9.6:6000
CCTV5,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv5.m3u8
CCTV5,https://node1.olelive.com:6443/live/CCTV5HD/hls.m3u8
CCTV5.http://182.151.234.91:9900/udp/239.93.42.37:5140
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV5,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5,http://61.182.33.218:8000/hls/5/index.m3u8
CCTV5,http://49.83.251.217:4022/rtp/239.49.9.32:6000
CCTV5,http://49.83.251.217:4022/rtp/239.49.1.5:6000
CCTV5,http://27.45.234.161:2024/hls/5/index.m3u8
CCTV5,http://1.198.26.166:808/hls/5/index.m3u8
NewTv超级体育,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
CCTV5+,http://36.156.208.56/liveali-tpgq.cctv.cn/live/cctv5p.m3u8
CCTV5+,http://182.151.234.91:9900/udp/239.93.1.36:8004
CCTV5+,http://49.83.251.217:4022/rtp/239.49.8.137:6000
央视台球高清,http://49.83.251.217:4022/rtp/239.49.9.22:6000
咪咕体育-4K,http://39.135.134.67/000000001000/3000000001000031494/index.m3u8
广东体育超清,http://113.65.8.165:8000/udp/239.77.0.168:5146
广东体育超清,http://116.20.33.46:4321/udp/239.77.0.112:5146
博斯魅力,http://50.7.238.114:8278/bosisport1_twn/playlist.m3u8?tid=MCEC3596356835963568&ct=19234&tsum=b4f0f6248548de66e4ff5d230c130d1a
博斯運動2,http://50.7.238.114:8278/bosisport2_twn/playlist.m3u8?tid=ME9E7698135376981353&ct=19249&tsum=9eadcc8585f74357f09f1465844024c9
Dubai Sport3,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd5/smil:dubaisportshd5.smil/chunklist_b1300000.m3u8
Dubai Sport2,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd5/smil:dubaisportshd5.smil/chunklist_b1300000.m3u8



其他,#genre#
湖南卫视,http://182.151.234.91:9900/udp/239.93.0.88:5140
新闻频道,http://1.198.26.166:808/hls/22/index.m3u8
IPTV,http://1.198.26.166:808/hls/75/index.m3u8
美国大片,http://1.198.26.166:808/hls/68/index.m3u8
HBO,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO Family,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=m99b80124e3b4&ct=18337&tsum=73f6f540497de9a5615b9bd55bec8853
HBO Family,http://50.7.238.114:8278/fyi_twn/playlist.m3u8?tid=18186902&ct=17988&&tsum=7a21abab0a5912afb0ebc01db111e59f
